States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,41.33,,66,84.67,149.67,141.33,128,99.33,53,70.67,236.5,192.67,198.33,,140.67,128,76.67,308.33,20.33,46.67,56.67,99
Andhra Pradesh,52.2,40.8,44.2,75,151.8,121.2,115,99,43.6,58.2,177.8,196,117.2,175,119,99,58,325,21.2,33,30.6,31.6
Arunachal pradesh,34.5,42,38.25,89.25,135,122,119.5,103.75,51,71.33,,157.67,153.33,142.67,212.5,,70,316.5,21,26,41.67,80.67
Assam,41.72,31.9,36.32,77.72,134.71,107.23,109.36,90.56,44.8,69.04,199.5,147.84,138.47,137.72,157.05,115.29,57.16,258.71,13.52,22.12,35.96,82.52
Bihar,37.74,26.29,32.71,74.57,137.46,111.71,108.51,79.74,43.35,55.97,196.71,138.46,125,130.11,169.54,110.21,48.5,270.32,23.32,19.74,32.03,57.85
Chandigarh,41,30,35,74,132,112,110,93,43,58,190,154,130,136,156,112,51,275,27,25,45,35
Chhattisgarh,37.75,34.25,36.5,78,137.88,104.38,107,87.5,41.88,58,202.75,146.88,129.63,131.25,150.29,120.75,48.13,292.75,22.75,24,31.13,40.75
Delhi,39,28,31,83,165,132,115,91,42,53,218,143,131,130,143,104,60,247,26,27,37,40
DNH and DD,45,38.67,44.67,82.33,153.67,132,121,95.33,42.33,64,211.67,153.67,139.33,131.67,133,101.33,68.33,350,27,21,30.67,36.67
Goa,47,43.5,42,85,165,130,124,97.5,43,57.5,219.5,161.5,144,152.5,122.5,101.5,58.5,315.5,24.5,35,37.5,36
Gujarat,37,33,37.75,73.75,134.75,111.75,104.5,92.5,42.25,57.75,188,141.75,137.5,143.5,130.25,111.25,50.75,273.5,14.25,25.5,29.25,57
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99,93.75,42,58.75,188.5,143.25,132.75,127.75,158.5,114,45.25,234.5,25.75,16.75,24.75,68
Himachal Pradesh,37.58,21,32.25,77.5,144.25,121.42,112.75,88.25,44.5,53.25,219.5,166.75,139.42,133,152.4,121.5,46.58,258.75,27.58,31.67,38.5,48.67
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101,51.67,47.67,243,154,143,139.33,168.67,122.5,49,317.33,26.67,28.33,40,61.33
Jharkhand,38,31.17,34.95,75.68,142.47,107.63,107,81.37,43.83,57.18,186,139.74,123.37,132.56,157.12,106.56,47.83,299.5,23.44,19.39,28.89,53.76
Karnataka,55.19,41.66,45.38,88.13,152.25,131.97,121.75,105.84,41.84,50.03,179.94,170.06,122.84,140.39,124.69,99.16,52,293.71,19.48,30.44,34.75,32.31
Kerala,50.31,43.92,47.23,96.54,166.85,142.23,133.08,110.92,43.17,53.58,226.43,195.67,154.69,,121.85,100.92,63.67,234.25,14,35.62,34.69,35.38
Madhya Pradesh,37.19,27.53,33.17,76.96,144.23,105.68,106.72,90.34,42.09,57.83,192.32,137.81,120.72,114.15,143.26,112.25,47.53,244.32,19.11,20.68,25.89,44.72
Maharashtra,47.63,38.26,42.58,77.89,159.84,121.58,118.53,98.26,43.21,57.74,190.89,160.78,131.42,112.79,127.53,105.25,52.21,292,23.63,27.58,31.37,42.37
Meghalaya,38.6,38.78,38.3,79.5,135,127.83,115.56,90.8,46.2,72.3,139,135,141.25,137.3,167.67,142,79.33,359.3,21.8,25.6,48.5,69.5
Mizoram,46.8,43.38,45.2,98.25,132.43,126.67,123.75,105.8,50,76.5,179.67,188.11,172.4,142.3,181,137.2,116.63,493.89,28.8,40.6,54.1,92.56
Nagaland,40.63,40.13,47.88,96.67,130.25,122.13,122,97.06,50.69,71,200,141.56,178.33,150.81,186,137.5,76.11,309.67,17.56,28.5,49.06,87.5
Odisha,36.96,38.06,39.79,77.28,152.8,113.04,108.16,80.24,43.68,52.13,165.5,138.92,116.22,133.78,117.76,95.84,49.76,277.79,25.96,20.44,32.76,39.56
Puducherry,46,39,33,73,168,125,110,87,40,45,,,,,,,49,387,23,29,29,33
Punjab,36.93,24.29,29.29,79.71,143.79,116.71,110.14,95.29,42.86,58.57,195.85,128.93,122.86,120.79,141.31,108.82,50.71,263.71,26.29,20.5,33.21,50.5
Rajasthan,39.9,29.48,32.41,71.79,115.86,105.41,100.03,89.03,41.32,51.96,184.52,153.38,129.85,140.04,162.54,139.6,43.33,297.37,20,21.5,24.79,69.21
Sikkim,51.4,35.8,43,81,131.4,131.6,123.6,104,48.6,63.4,,180.8,136.2,158.5,195,,57,446,19,35.6,43,77.6
