States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,41.33,,66,84.67,149.67,141.33,128,99.33,53,70.67,237.5,195.67,199,,141,128.33,76.67,308.33,20.33,46.67,56.67,100
Andhra Pradesh,52.2,40.8,44.2,73.8,149.2,120.8,115,99.8,43.6,58.2,177.8,196,117.2,175,119,98.6,58.2,325,21.2,31.2,29.8,29
Arunachal pradesh,31.67,42,38.33,86.67,130,125,120,103,52.5,70,,160,170,146.5,212.5,,70,300,22.5,25,42.5,70
Assam,41.93,30.8,36.44,77.52,134.23,107.17,109.56,91.33,45.04,69.92,199.4,147.67,138.86,140.63,155.87,117.24,57.62,259.76,13.46,21.67,35.67,84.13
Bihar,37.95,26.27,32.89,73.46,135.78,111.92,108.14,80.05,43.22,55.62,186.44,139.08,126.95,131.16,170.79,111.47,48.7,273.92,22.7,19.51,31.03,66.68
Chandigarh,41,30,35,74,132,112,110,93,43,58,190,154,130,136,156,112,51,275,27,25,35,45
Chhattisgarh,39.86,35.86,37.14,76.71,138.5,103.43,106.14,87.29,42.29,60,187.33,143,121.57,122.83,143.83,110.43,50.71,282.14,25.29,25,33.29,45
Delhi,39,28,31,82,162,132,115,91,41,53,218,144,131,130,143,104,60,247,26,27,38,40
DNH and DD,44.67,39.67,44.67,82,154.67,132,120.33,97,42,64,210.67,155,140.67,131.33,132.67,101.67,68.33,350,27,21,33,41
Goa,47,43,42,83.5,162,125,122.5,97.5,43,57.5,216,161,145,152.5,122.5,100,56.5,315.5,24.5,35,37.5,36
Gujarat,38.4,32.8,38,74.4,132.4,112.4,104.6,91,42,58,191,138.8,132.6,136.8,126.2,109.6,50.6,280.8,15,25,26.2,71.4
Haryana,40.25,25.75,32.75,67.75,130.5,101.75,99,93.75,42,58.75,188.5,143.25,132.75,127.75,158.5,114,45.25,234.5,25.75,16.75,24,68.5
Himachal Pradesh,37.25,21,32.25,76.83,143.83,120.92,112.5,86.92,44.5,53.08,219.5,166.67,140.25,134,152.4,121.5,46.33,258.83,27.58,31.17,38.5,54.08
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,117.67,116.67,101,51.67,47.67,243,153.33,143,139.33,168.67,122.5,49,317.33,26.67,28.33,40,61.33
Jharkhand,37.74,31.06,34.89,75.11,141.32,107.05,106.37,80.95,43.89,57,185.77,139.79,123.79,132.67,157.41,106.78,47.61,294.76,23.39,19.58,29.21,58.22
Karnataka,54.91,41.72,45.44,87.63,150.72,131.56,121.59,105.31,41.63,50.03,179.69,170.22,122.81,140.65,124.66,99.03,51.63,292.47,19.41,30.78,34.41,33.38
Kerala,50,44.08,47.67,95.83,164.17,140.67,132.18,110.92,42.92,53.25,229.83,198.25,155.08,,122.33,100.36,63.75,236.92,14,35.33,34.75,38.92
Madhya Pradesh,36.64,27.59,33.34,76.68,142.7,105.36,106.5,90.75,42.07,57.59,191.61,136.23,120.16,114.66,143.26,112.65,47.45,242.59,19.05,20.8,26.2,48.05
Maharashtra,47.58,38.32,42.79,77.89,158.21,121.05,118.53,98.05,43.26,57.84,190.68,161.22,131.63,113,127.32,105.38,52.37,291.28,23.56,27.79,31.74,45.68
Meghalaya,38.67,37.44,37.33,78.6,131,127.83,115,90.89,46.11,72.56,139,133.89,140,132.11,169.5,136.67,79.33,347,22.89,26.22,49.11,68.78
Mizoram,47.09,43,45.2,99.22,132.43,122.86,123.75,104.82,50,76.82,179.67,192.3,172.4,142.27,181,137.2,116.63,493.89,28.91,40.09,52.91,79.22
Nagaland,40.56,40.13,47.88,96.67,129.83,121.5,122,96.94,50.73,71.08,200,141.88,179.17,150.81,186,137.5,73.13,319.29,17.4,28.73,49.67,92.33
Odisha,37.18,37.7,40.04,76.32,149.82,111.64,107.71,79.64,43.75,51.81,166.25,140.43,117.88,138.91,119.18,96.57,49.93,276.18,26.21,20.39,31.89,44.79
Punjab,37.36,23.82,28.91,78.82,147.82,115.73,109.91,91.55,42.55,59,194.6,125.64,120.82,118.27,137.1,104.56,50,269.09,26.45,19.64,33.45,46.09
Rajasthan,39.69,29.5,32.58,71.69,115.58,104.5,100.27,88.73,41.16,51.88,182.72,152.36,130.09,138.17,162.32,131.67,43.2,297.16,20.2,21.65,24.7,82.32
Sikkim,51.4,35.8,43,81,131.4,131.6,123.6,104,48.6,63.4,,181.2,136.4,158.75,195,,56.8,446,19,35.6,43,79.6
Tamil Nadu,55.26,44.17,52.58,82.68,166.29,133.06,118.48,91.7,41.9,45.87,212.71,182.43,124.26,,116.35,93.68,53.77,287.4,23.42,34.61,35.94,27.81
Telangana,48.4,38.6,42.9,70.9,133,115.1,106.9,90.6,39.9,63.4,167.8,173,118,148.83,119,100.2,55.2,298.4,18.8,29.2,30.1,42.2
Tripura,38.33,,38.33,81,146,129,111.33,100.67,47,70,,134.67,136.5,120.33,161,104,70,235,10.67,24,40.33,84.67
Uttar Pradesh,36.68,25.66,31.92,74.43,137.45,110.65,107.43,92.33,42.16,62.16,191.95,142.03,130.47,135.08,163.27,113.43,47.77,242.91,26.77,20,29.99,54.56
Uttarakhand,35,26.25,32.5,84.5,124.5,106.25,110.75,101.5,41.25,62.75,163,139.25,142.25,141.5,154.75,114,51.25,263.25,28.25,22.5,32.25,45
West Bengal,43.83,29.7,37.83,77.65,135.74,113.5,118.39,105.96,43.68,54.55,201.27,133.27,114.05,117.64,134.05,101.9,52.09,276.14,21.95,21.05,35.41,57.75
