States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,41.33,,66,84.67,149.67,141.33,128,99.33,53,70.67,236.5,195.67,198.33,,140.67,128,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,56.75,41,43.75,75.75,155.25,122.75,116.75,99,43.5,57.75,176.75,181,116.5,150,114.25,93.25,59.25,356.75,21.5,29.25,30.25,31
Arunachal pradesh,31.67,42,38.33,86.67,130,125,120,103,52.5,70,,160,170,146.5,212.5,,70,300,22.5,28.5,41,70
Assam,41.81,31.6,36.41,77.15,133.96,107.43,109.78,90.52,45,69.81,199.5,147.04,137.5,139.15,155.27,113.71,56.92,258.56,13.35,21.96,35.54,85.48
Bihar,37.97,26.19,32.16,73.5,137.47,112.22,109.13,79.22,43.32,55.48,191.94,137.23,122.48,129.55,165.77,110.7,48.13,281.48,22.77,19.06,31.06,66.84
Chandigarh,41,30,35,74,132,112,110,93,43,58,190,154,130,136,156,112,51,275,27,25,35,45
Chhattisgarh,35.29,32,34.86,73.71,135.14,103.43,106.43,86.14,41.57,58.57,190.71,149.43,127.29,132.86,150.57,123.57,46.86,289.14,21.71,23.71,30.29,48.57
Delhi,39,28,31,80,162,128,115,89,41,53,218,144,131,130,144,104,60,245,26,27,37,43
DNH and DD,45.67,39,44.67,81,152,130,120.67,96,41.33,64,210.67,155,140.67,131.67,132.67,101.67,68,350,27,21.67,33.33,41.33
Goa,47,43,42,83.5,162,125,122.5,97.5,43,57.5,216,161,145,152.5,122.5,100,56.5,315.5,24.5,35,37.5,36
Gujarat,39.4,33,38.4,74.6,132.8,113,105.2,91.6,42.2,58.6,191.4,139.4,134,136.8,126.2,110,51.6,284.8,14.25,26.4,26.6,71.4
