States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Haryana,40.5,26,33,68,130.75,102,99.25,94,42.25,59.25,188.75,143.5,133,128,158.75,114.25,45.5,237,25.75,17.25,24.25,69.75
Himachal Pradesh,37.08,21,32.17,76.42,142.5,120.75,112.5,86.83,44.5,53.08,219.5,166.5,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.67,38.92,56.58
Jammu and Kashmir,39.25,30.25,40.75,85,125.25,118.5,115,101.25,50.75,51.75,243,161.25,146.75,146.25,169,135.33,48.25,316.25,25,27.25,40.25,63.25
Jharkhand,38.47,31,35.13,75.4,141.4,106.87,106.6,81.73,43.93,56.62,180.91,140.14,122.93,132.57,159.31,107.64,47.64,294.62,22.57,19.67,28.87,63.33
Karnataka,54.9,41.6,45.53,87.9,150.63,131.87,121.23,105.6,41.63,49.43,180.7,170.47,123.17,141.45,124.67,99.13,51.63,294.57,19.73,30.87,34.4,35.3
Madhya Pradesh,36.84,27.7,33.54,75.97,144.59,107.27,107.57,90.73,42.03,57.14,189.7,137.62,121.51,114.7,143.11,113.95,47.51,244.65,18.24,20.81,25.84,46.03
Maharashtra,47.47,38.11,42.53,77.21,157.32,120.53,118.05,97.68,43.16,57.63,190.58,160.94,131.42,113.53,127.79,105.56,52.21,291.47,23.58,27.47,31.21,48
Meghalaya,38.6,38.2,38,78.83,131,127.83,114.67,90.8,46,72.5,130,134.3,138.75,137.2,175,136,80,358.8,22.2,25.9,48,70.7
Mizoram,47.09,43,45.2,99.22,132.43,122.86,123.75,104.82,50,76.82,179.67,192.3,172.4,143.64,183.33,137.2,116.63,493.89,28.91,40.09,52.73,79.22
Nagaland,40.56,40.13,47.88,96.67,130.25,122.13,122,97.06,50.69,70.64,200,141.88,181.67,150.81,186,137.5,76.11,309.67,17.56,28.5,49.06,92.56
Odisha,37.26,37,40.36,75.3,147.09,111.39,108.48,79.65,43.7,51.73,167.83,141,119,141,120.04,97.7,49.96,273.21,26.22,20.39,31.61,47.39
Puducherry,46,39,33,73,168,125,110,87,40,45,205,166,149,,113,94,49,387,23,29,29,37
Punjab,36.83,24.25,29,79.5,146.75,113.75,109.08,92.75,42.82,59,193.27,126.17,121.42,118.83,140.4,104.56,50.18,268.64,26.55,19.9,33.5,51.3
Rajasthan,39.56,29.88,32.72,72.36,114.24,105.16,100.24,90.44,41.32,51.71,184.76,156.4,132.3,143.21,161.05,147,43.12,299.28,20.2,22.48,25.12,76.58
Sikkim,51,34.75,42,80,130,132.5,123.75,106.25,48.75,63.75,,182,137.25,158.33,198.5,,56.25,420.75,19.5,35.75,42.5,87
Tamil Nadu,55.3,44.14,53,82.53,165.77,132.97,117.97,92.08,42,45.93,213.33,182.93,124.9,,116.33,93.77,54.03,275.74,23.33,34.67,36,29.83
Telangana,49.3,39.1,43,71.3,134,115.7,107.3,90.4,39.63,63.13,168.44,171.33,117.67,145.2,117.11,98.22,54.63,294,18,27.5,29.25,41.38
Tripura,39,,38,82,140.67,126,112.25,101.25,47.25,70.75,,134.5,127.67,119.25,153.75,103.5,66.5,219.5,11,23.25,38.75,83.75
Uttar Pradesh,36.59,25.62,31.79,74.64,137.36,111.41,107.62,91.85,42.13,61.97,193.32,141.51,129.85,134.59,163.45,112.57,48.07,239.17,26.55,20.05,29.98,53.37
Uttarakhand,34,23,28,77,152,112,113,108,40,63,171,138,137,138,141,89,51,217,28,17,23,42
West Bengal,43.91,29.7,37.95,77.73,135.95,113.57,119,106.68,43.71,54.71,203.45,133.29,114.71,117.29,135.24,101.84,52.62,276.05,21.57,21.05,35.29,60.58
