States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Andaman and Nicobar,41.33,,66,84.67,149.67,141.33,128,99.33,53,70.67,236.5,195.67,198.33,,140.67,128,76.67,308.33,20.33,46.67,56.67,106.67
Andhra Pradesh,53.4,40.8,44.2,73.6,150.4,120.2,115.4,99.8,43.2,58.2,177.8,196.4,117.2,175,119.2,98.6,58.2,325,21.2,31.4,30.2,42
Arunachal pradesh,33.33,,37.67,88.33,136.67,117.67,115.67,99,51,71.33,,157.67,153.33,143.33,212.5,,70,316.5,21,25,40.67,95.67
Assam,41.75,31.45,36.54,76.93,133.96,107.46,109.57,91.18,44.96,69.81,199.5,148.11,139.68,140.82,156.04,116.67,56.61,256.44,13.21,21.79,35,82.2
Bihar,38.09,25.97,32.8,73.69,135.31,111.8,107.8,80.11,43.2,55.23,193.75,138.89,126.46,130.23,169.11,110.59,48.26,276.2,22.89,19.31,31.49,67.31
Chhattisgarh,38.5,30.75,35.25,72.25,137.5,99.25,105.5,83,41.25,66.5,191.25,149,122.5,130.25,156,122.5,46.5,317.75,25.75,24.5,31.25,53
Delhi,39,28,31,80,162,128,115,89,41,53,218,144,130,130,144,104,60,243,26,27,38,43
DNH and DD,45.67,39.33,44.33,81,151,130,121.33,96.33,41.33,64,211.33,155,140.67,132.67,132.67,101.67,68,350,27,21.67,33.33,41.67
Goa,47,43,42,83.5,162,125,122.5,97.5,43,57.5,216,161,145,152.5,122.5,100,56.5,315.5,24.5,35,37.5,36.5
Gujarat,38.33,33.33,39.33,73.67,134.67,113.67,107.67,97,43,57.67,185.67,141,134,145.33,129.33,111.67,50,283,14.67,26.67,27.67,59
Haryana,40.5,26,33,68,130.75,102,99.25,94,42.25,59.25,188.75,143.5,133,128,158.75,114.25,45.5,237,25.75,17.25,23,71
Himachal Pradesh,37.08,21,32.17,76.08,142.5,120.5,112.5,86.83,44.5,53.08,219.5,165,140.08,133.7,152.4,121.5,46.08,257.92,27.58,30.5,38.75,58
Jammu and Kashmir,37.67,31.33,41.67,87.67,127.67,118.33,116.67,101.67,51.67,47.67,243,154.67,144.67,139.33,168.67,125,49,319.67,26.67,27.67,40,66.67
Jharkhand,37.79,30.94,35,75.21,141.53,107,106.32,80.68,43.76,56.88,186.46,139.56,123.11,132.5,157.35,106.44,48.18,295.81,23,19.53,29.21,64.06
Karnataka,54.66,41.72,45.34,87.66,150.72,131.91,121.44,105.53,41.72,50,179.88,170.41,122.81,140.81,124.88,99.09,51.66,292.94,19.41,30.81,33.81,36.09
Madhya Pradesh,36.66,28.03,33.88,74.72,144.25,104.16,105.63,88,42.03,57.13,188.25,136.41,119.19,114.47,143.03,114.2,47.78,235.38,19.13,20.77,26.68,46.29
Maharashtra,47.32,38.16,42.63,76.63,156.63,120.53,117.84,97.32,43.11,57.63,190.63,160.94,131.21,114.16,127.89,105.63,52.11,291.47,23.58,27.42,31.11,49.53
Meghalaya,38.7,38.2,38,78.83,131,127.83,114.89,91,46.1,72.6,130,134.6,139.5,137.5,175,136,79.5,359.5,22,25.8,47.5,71.4
Mizoram,47,43,45.2,99.33,132.43,122.86,123.75,104.55,50,77.55,179.67,193.2,172.4,143.09,184.67,138,116.63,493.89,28.91,40.36,52.64,79.22
Nagaland,40.8,40.13,47.73,97.27,130.25,122.75,122.14,96.87,50.73,70.69,200,141.33,181.67,151.53,186,137.5,78.75,306.79,17.4,28.73,49,96.07
Odisha,36.87,37.64,40,75.33,147,113.67,108.53,79.47,44.07,52.71,155,137.73,114.36,131.33,117,96.87,50.71,273.91,26.29,20.4,32.07,44.47
Puducherry,46,39,33,73,168,125,110,87,40,45,205,166,149,,113,94,49,387,23,29,29,37
Punjab,36.45,23.91,28.64,79.55,143.91,113.73,108.73,94.45,42.45,57.5,197.4,127.82,121.82,119,145.1,102.38,51.27,265.91,26.27,20.64,34.64,55.18
Rajasthan,40.56,28.44,30.67,71.67,113.56,105.22,98.67,86.22,40.56,53.22,178.33,155.33,125,145.78,151.14,140.5,41.11,299.56,19.33,22.11,24.78,69.22
Sikkim,51.4,35.8,43,81,131.4,131.6,123.6,104,48.6,63.4,,180.8,136.2,158.5,195,,57,446,19,35.2,42,81.6
Tamil Nadu,55.35,44.07,52.52,82.32,165.35,132.61,117.68,91.81,41.94,45.87,211.81,182.86,124.1,,116.29,93.65,53.9,287.1,23.42,34.48,35.94,31.48
Telangana,48.9,38.5,42.9,70.7,133.1,115.1,107,90.6,39.7,63.8,168,172.4,118.1,149.33,119.4,100.2,54.7,298.2,18.8,29.1,29.8,43
Tripura,39,,37.33,81.33,140.67,125.67,114.67,99,47.33,71.67,,130,127.67,118.33,156,103,62.67,203.33,11.33,24,40,88.33
Uttar Pradesh,36.67,25.66,31.88,74.41,136.95,110.59,107.29,92.17,42.2,62.24,192,141.91,130.48,135.12,163.3,113.64,47.73,243.01,26.77,20.03,29.84,56.15
Uttarakhand,34.75,26.25,32.5,84.5,124.5,106.25,110.5,101.5,41.25,63,163.25,139.5,142.5,141.75,155.25,114.5,51.75,263.25,28.25,23,32,50.5
West Bengal,42.25,29.5,38,76.5,132.31,112.73,116.38,105.75,43.56,54.38,200.8,133.25,113.38,118.81,136.88,102.73,51.44,276.19,20.44,21.13,34.5,71.2
